p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p051,p052,p053,p054,p055,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
0.777,0.3818,0.3941,0.145,0.10257999999999999,,-0.045011,0.5479999999999999,0.8375,-0.005,32.86,0.91,0.0163,0.55,0.5479,0.258,0.624,0.7788,0.417 ,0.561,0.914,0.889,1.3864,0.34,0.331,0.406,0.72,0.89,0.7240000000000001,0.78,0.26 ,0.39,0.24,0.23,-0.0872,0.75,0.9,0.87,0.570 ,0.229 ,0.08,0.233,0.29,-0.3655,1.0417,0.68,0.36,,-0.006,0.047,0.87,1.125,0.84,0.9141,0.215,0.7,,0.742,,0.154,0.3509,0.647,0.5715,0.85,0.011000000000000001,0.799,0.0352,0.235,0.38,0.0387,
0.95,0.8689,0.3769,0.20199999999999999,0.13049000000000002,,0.087738,0.7,0.887,-0.064,0.46,0.82,-0.1022,0.54,0.5443,,0.9846,0.9501,0.636 ,,0.8695,0.46,0.9886,0.88,0.379,0.426,0.5,0.88,0.591,0.46,0.07 ,0.65,0.37,0.424,0.1752,0.78,0.77,0.11,,0.127 ,0.105,0.245,0.52,-0.301,1.0903,0.78,0.9390000000000001,,-0.00039,0.024,0.96,0.971,0.66,0.913,0.22699999999999998,0.8,,0.726,,0.779,0.3202,0.537,0.7785,0.78,0.08,0.875,0.0656,0.265,0.25,0.028,
0.75,0.9154,0.3881,0.174,0.01167,,0.272149,0.7859999999999999,0.637,-0.344,16.79,0.41,,1.13,0.3382,,0.6368,0.84,0.691 ,,0.887,0.821,1.4426,0.55,0.591,0.628,0.69,0.75,0.654,0.61,0.28 ,0.57,0.7,0.069,0.601,0.6,0.85,0.71,,0.128 ,0.78,0.19899999999999998,0.75,-0.6908,0.9152,0.67,0.324,,-0.4787,0.247,0.49,0.163,0.76,1.0902,0.1558,0.66,,-0.501,,0.05,0.0913,0.609,0.4643,0.76,0.001,0.8440000000000001,0.028,0.418,0.25,0.1635,
0.9229999999999999,0.9841,0.3986,0.149,-0.20126,,0.383959,0.546,0.8269,0.001,0.48,0.9,,1.03,0.3077,,,0.8227,0.483 ,,0.893,0.51,1.0034,0.43,0.44299999999999995,0.5920000000000001,0.65,0.92,0.599,0.55,0.26 ,0.9,1.02,0.147,0.841,0.65,0.72,1.05,,0.057 ,-0.268,0.20800000000000002,-0.54,0.148,1.1155,0.48,1.058,,-0.4447,,0.77,0.628,0.59,1.0009,0.165,0.69,,-0.598,,0.94,0.3383,0.54,0.64,0.63,0.01,0.873,0.0396,0.316,0.79,0.0105,
0.89,0.893,0.2239,0.20800000000000002,-0.20126,,0.07416,0.777,,0.063,15.74,0.03,,0.62,0.4547,,,1.1985,0.591 ,,0.897,0.28300000000000003,0.47,0.29,0.11199999999999999,,0.32,0.76,0.728,0.54,0.28 ,0.58,-0.18,0.166,-0.0352,0.84,0.8,0.54,,-0.549 ,0.033,0.369,0.021,-0.8642,0.9596,0.74,0.68,,0.2425,,0.99,0.54,0.83,0.78,0.655,0.73,,,,0.201,0.3905,0.536,0.713,0.8,0.168,0.6809999999999999,0.1564,0.036000000000000004,0.25,0.0863,
0.6779999999999999,0.9352,0.1908,0.179,0.15693,,0.294904,0.526,,0.076,8.45,0.05,,0.55,0.4819,,,0.7709,0.491 ,,0.9009999999999999,0.581,0.7240000000000001,-0.05,0.064,,,0.79,0.813,0.61,-0.44 ,0.71,0.63,0.063,-0.5972,0.66,0.74,0.53,,0.396 ,-0.057999999999999996,0.385,0.14,-0.9098,1.1676,0.6,0.8009999999999999,,-1.9276,,0.92,0.153,0.5,0.64,0.675,0.83,,,,0.368,0.0699,0.42100000000000004,0.57,0.68,1.35,1.071,-0.3243,0.41,0.25,0.016,
0.757,0.4579,0.3877,0.092,-0.11237,,0.383959,0.79,,-0.626,0.612,0.17,,0.6,0.1244,,,0.6269,0.562 ,,,0.698,0.7340000000000001,0.0,0.067,,,0.7,0.532,0.87,0.09 ,0.78,1.0,0.23199999999999998,-0.3932,0.69,,0.56,,0.289 ,-0.06,0.136,0.52,-0.1419,1.0576,0.72,0.121,,0.2295,,0.94,0.297,0.54,0.9186,,0.67,,,,0.0,0.4145,0.0,,0.64,0.157,0.6709999999999999,0.528,0.183,0.35,0.0609,
0.735,0.8715,0.3934,0.145,-0.12305999999999999,,0.147121,0.9620000000000001,,0.26899999999999996,0.0856,0.77,,0.66,0.1433,,,0.7346,0.449 ,,,0.48200000000000004,0.457,0.6,0.35700000000000004,,,0.66,0.583,0.55,0.51 ,0.74,1.04,0.754,0.821,,,0.92,,0.41 ,-0.015,0.16399999999999998,-0.54,-0.0061,0.8138,0.66,0.248,,-0.4864,,0.72,0.248,0.58,0.9193,,0.66,,,,0.14,0.3776,0.0,,0.75,1.24,0.266,0.5920000000000001,0.644,0.59,0.0043,
0.845,0.9507,0.5005,0.107,0.00207,,0.356232,1.034,,-0.20199999999999999,3.26,0.7,,0.39,,,,0.8676,,,,0.47100000000000003,0.71,0.41,0.542,,,0.63,0.5760000000000001,0.551,0.25 ,0.74,,0.14800000000000002,0.491,,,0.8,,0.363 ,-0.073,0.182,1.04,-0.6328,0.688,0.77,0.903,,0.0193,,0.96,0.113,0.97,0.9005,,0.66,,,,0.748,0.1121,0.0,,0.66,0.214,0.5429999999999999,0.396,0.784,0.29,0.1046,
0.797,0.9925,0.359,0.14800000000000002,,,,0.9520000000000001,,-0.09699999999999999,,0.88,,0.48,,,,0.7285,,,,0.28300000000000003,0.7190000000000001,0.87,0.166,,,0.86,0.531,-0.0062,0.96 ,0.9,,0.10300000000000001,0.7909999999999999,,,0.03,,0.432 ,,0.207,0.2,-0.7349,0.5966,0.54,0.449,,0.6353,,0.86,0.594,0.69,1.0156,,0.92,,,,0.043,,0.536,,0.78,2.74,0.491,0.0,0.473,0.2,0.0165,
