p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p051,p052,p053,p054,p055,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
13.169491525423698,0.571779,5.71,18.98,,,1.454333,,8.96,1.29885057471264,2.316,1.32,,,3.2779097387173395,1.399,3.6089,1.6093,,-0.6690255851932501,-4.5175,22.2407407407407,35.0496,,-4.14,5.49,,,-1.041,,113.7 ,,-13.52,,,3.296467,5.93,3.4310344827586206,,,1.3459999999999999,,,-0.6233,13.8857142857143,-0.71,3.54,1.21,1.0234,0.0001,93.0,1.18115942028985,4.01,-2.59,-1.953,12.166666666666698,,4.61,,-4.38,-4.199,11.25,2.6,27.6666666666667,16.7,6.27,15.6,-2.88653555219365,2.67648042823687,-4.23,
33.9285714285714,0.42681499999999994,0.82,19.76,,,10.631969999999999,,4.47,-0.661458333333333,0.20600000000000002,1.44,,,0.246920821114369,2.217,3.8066,4.2767,,-3.44127839815171,-4.3461,17.576923076923098,10.2698,,-13.15,5.15,,,2.716,,28.3 ,,2.34,,,7.055416,6.11,2.0,,,4.337,,,-0.5938,13.25,-0.6,15.42,-2.33,3.1344,0.74,32.5,2.5467625899280604,2.19,0.71,-1.9106,7.27272727272727,,6.49,,0.34,26.943,19.83,0.37,25.3333333333333,-14.01,2.55,5.79,1.92830696735106,4.37191497934925,0.69,
28.846153846153804,-1.476446,0.43,22.52,,,4.289162,,13.57,0.221153846153846,13.012,1.45,,,4.11835748792271,-0.647,-1.103,2.176,,-2.82071799307958,-5.3063,0.166666666666667,20.8236,,15.04,5.84,,,3.2910000000000004,,-27.4 ,,1.38,,,-0.382254,4.52,1.51612903225806,,,-1.3119999999999998,,,6.2997,11.7428571428571,2.21,4.16,0.99,1.4422,0.0001,2.4,3.7006578947368403,3.23,-0.5,-1.953,16.5,,1.12,,2.11,-1.4880000000000002,3.4,1.81,16.75,-13.28,0.26,1.98,1.3915094339622598,-1.6834987401655803,10.69,
20.511111111111102,0.138552,5.4,23.33,,,4.834491000000001,,23.5,16.695652173913,0.56,1.5,,,0.21506493506493501,-3.9539999999999997,4.3685,4.0473,,-1.33304246655032,-6.2096,1.9166666666666698,-9.3449,,-3.9,5.15,,,14.658,,-0.6 ,,4.99,,,0.267608,6.32,1.6415094339622598,,,2.064,,,1.375,12.000000000000002,-8.47,0.04,-0.83,1.5837,0.91,44.9,2.97852760736196,0.76,2.71,-1.9106,5.307692307692309,,1.13,,1.9,9.676,7.69,0.49,15.5,9.42,1.25,6.45,0.0,-3.1427336138813597,-2.36,
23.4210526315789,-1.3082280000000002,20.08,-7.03,,,0.374275,,8.28,0.776119402985075,5.284,1.36,,,2.78985507246377,1.683,-6.3112,3.4239,,-0.95259319286872,-6.5544,46.571428571428605,-2.1908,,-13.2,5.71,,,3.2260000000000004,,16.9 ,,2.79,,,21.50158,5.85,1.16666666666667,,,27.046999999999997,,,0.6591,14.166666666666698,3.06,19.36,1.79,1.0273,0.0002,19.7,4.0263157894736805,0.38,1.49,0.3033,14.6,,2.8,,-0.55,187.51,15.9,5.91,26.3333333333333,13.33,0.28,14.2,3.16152897657213,3.0365382888948704,-0.19,
11.689655172413799,0.391924,2.68,11.05,,,10.631969999999999,,3.35,0.36126224156692105,-0.502,1.46,,,0.30463576158940403,-0.65,2.5849,1.6142,,-1.1467700258397902,-2.6418,0.666666666666667,8.052999999999999,,15.17,2.97,,,-2.707,,1.7 ,,2.32,,,2.6189459999999998,9.92,2.3333333333333304,,,0.092,,,-3.0382,8.46153846153846,-1.87,3.87,-0.1,1.4804,0.86,52.2,5.48484848484848,0.5,8.06,0.17,13.833333333333302,,3.86,,2.1,-4.739,4.67,2.07,13.2,10.08,2.15,0.57,1.16666666666667,3.58009348990993,1.34,
28.037037037037,-0.784338,2.36,17.69,,,3.239998,,19.94,0.403614457831325,12.002,1.32,,,3.23571428571429,0.0522,2.2985,1.7962,,-2.85873119686069,-5.7342,2.07692307692308,11.7613,,-7.23,6.23,,,1.11,,-2.6 ,,-3.24,,,4.952032,7.28,1.95918367346939,,,4.168,,,2.5391,26.923076923076895,-2.67,2.09,0.09,1.1192,-1.19,32.1,7.47619047619048,0.42,-0.1137,-2.6324,9.571428571428571,,-0.58,,,1.38,12.57,1.57,12.4,-11.16,1.76,-9.89,0.8606485539000881,-4.12313750532141,-5.67,
22.96875,1.9588,13.3,5.68,,,6.006997,,4.39,3.36630036630037,1.785,1.39,,,-9.9290780141844,4.579,2.7842,2.707,,-3.1835252298895003,-6.5757,0.428571428571428,33.6181,,-12.43,5.57,,,-1.631,,-14.0 ,,-3.75,,,9.183703999999999,8.81,1.2641509433962301,,,1.7690000000000001,,,-1.0942,16.6769230769231,-0.97,0.57,0.71,0.9803,0.13,17.7,6.75,6.16,-2.0,-2.9784,9.428571428571429,,-1.3,,,-4.308,2.68,0.64,17.5,0.953,4.51,67.6,0.329471032745592,-3.33228984439739,3.15,
15.089285714285701,-0.20010999999999998,5.04,0.51,,,0.751885,,3.58,-2.35211267605634,-1.348,1.14,,,-0.15359477124183,-4.936,2.4656,0.2505,,-0.5113194909578029,-2.2814,12.7687861271676,9.0762,,13.98,-1.1,,,3.088,,-2.0 ,,9.9,,,-2.052973,5.3,1.4590163934426201,,,-1.609,,,-1.4495,18.5714285714286,3.18,0.02,1.02,0.7555,1.38,22.7,3.4242424242424203,4.59,2.07,-2.6324,8.25,,0.06,,,31.14,-2.13,0.91,9.28571428571428,1.7930000000000001,1.51,13.9,1.8230820105820102,2.2951684561273598,-1.33,
14.7592592592593,-1.7622759999999997,4.9,-4.96,,,-0.20706599999999997,,21.12,-0.817365269461078,2.488,1.26,,,-2.72403560830861,4.612,-0.0701,-0.447,,-2.14136935991605,-12.446,11.78125,-1.8997,,3.52,2.27,,,1.041,,3.6 ,,12.54,,,9.520114999999999,-9.84,2.28571428571429,,,1.341,,,-1.6628,15.068493150684901,-1.72,9.01,0.36,0.6708,1.58,17.0,2.0,3.18,1.31,-2.9784,18.4,,0.78,,,-1.954,3.02,12.72,17.5,1.32,1.73,5.42,0.8146113383985971,3.2974364592462795,1.01,
19.2380952380952,0.8338459999999999,4.97,3.5,,,17.64801,,20.02,-2.02857142857143,1.712,1.45,,,-0.375696767001115,-3.887,2.909,0.5379999999999999,,-1.9695005718642802,-13.112,3.0384615384615397,-1.3534,,-5.78,7.28,,,-0.132,,2.0 ,,-3.26,,,5.67949,-5.36,2.42857142857143,,,3.677,,,-0.6132,17.2545454545455,-2.73,0.08,0.33,1.1757,-1.55,18.2,3.96,2.96,-2.57,-2.2221,6.22222222222222,,-0.66,,,9.931000000000001,16.07,1.17,15.8,3.01,1.83,1.89,1.3644598523820202,-2.21407944554964,1.23,
7.71641791044776,-0.750835,5.38,34.27,,,1.2113209999999999,,3.86,0.0,-0.889,7.61,,,-0.984632272228321,4.202,-3.4153,-1.6081,,-1.19953888073779,38.13,0.05,3.522,,-12.45,7.99,,,-2.169,,3.2 ,,-2.04,,,-1.670363,9.83,1.38095238095238,,,6.64,,,1.1779,13.3218390804598,-0.11,0.76,-1.19,0.9919,3.35,48.2,3.59420289855072,0.62,0.73,3.3888,5.21428571428571,,0.0,,,53.242,-9.35,2.52,25.0,-1.48,1.72,5.44,-3.1353919239905,-2.09663297495654,-1.32,
8.010989010989011,0.465447,2.95,34.72,,,-6.678872999999999,,-3.35,-1.27272727272727,0.655,5.48,,,-0.607333333333333,2.326,0.5948,,,-1.37161163134549,55.04,78.75,8.6024,,15.44,3.84,,,0.358,,7.9 ,,-1.43,,,3.9669440000000002,5.38,1.6521739130434798,,,-2.384,,,-2.8834,,16.27,20.91,0.35,0.5068,2.49,19.0,0.621621621621622,2.17,-0.49,1.2734,10.0,,0.0,,,-6.33,-9.49,1.43,20.0,1.71,2.85,10.2,1.6249207355738702,3.21193727870511,-3.7,
15.3421052631579,-2.034538,3.44,39.28,,,-1.614687,,1.47,0.0,0.91,6.72,,,-1.10294117647059,-2.9219999999999997,1.1908,,,1.6643101482326101,0.68,10.5542168674699,9.2801,,4.64,-4.78,,,3.596,,-17.6 ,,4.89,,,6.959022999999999,3.61,2.22448979591837,,,0.718,,,2.1299,,-0.09,1.12,0.3,1.0107,0.59,26.2,1.8918918918918899,1.17,2.73,0.9171,8.0,,0.02,,,0.561,16.34,1.0,14.6,-6.55,0.59,-0.75,1.30630630630631,3.75507284079084,-0.14,
13.6491228070175,1.0744,10.51,39.87,,,-1.174791,,-0.68,-0.421052631578947,0.086,7.15,,,-0.900662251655629,0.0001,1.1045,,,-2.29528943051324,3.3,2.23076923076923,2.7508,,4.58,-3.31,,,2.432,,0.7 ,,3.41,,,-0.596838,5.26,1.77777777777778,,,31.516,,,-1.8041,,-1.52,-0.18,0.23,1.7463,0.1,21.1,6.988235294117651,0.76,1.5,1.2734,7.55555555555556,,0.0,,,-10.654000000000002,10.03,1.87,9.83333333333333,2.72,3.61,-7.35,0.0,-2.3184829637642004,4.01,
